s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.6108447E+002, 1.0002239E+003, 0.0000000E+000,-3.7773233E+002,-4.3932187E+001,-2.7133150E+002,-7.1379449E-002, 0.0000000E+000, 0.0000000E+000, 3.0669893E+002, 3.0715652E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6206093E+002, 1.0077522E+003, 0.0000000E+000,-3.6309989E+002,-4.7873888E+001,-2.7202346E+002,-7.1136366E-002, 0.0000000E+000, 0.0000000E+000, 3.2326719E+002, 3.2468382E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6301947E+002, 9.9898840E+002, 0.0000000E+000,-3.8904202E+002,-4.8709159E+001,-2.7372884E+002,-7.1214514E-002, 0.0000000E+000, 0.0000000E+000, 2.8761157E+002, 2.8743717E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6407559E+002, 9.8923178E+002, 0.0000000E+000,-3.6980985E+002,-4.6542140E+001,-2.7437046E+002,-7.1340820E-002, 0.0000000E+000, 0.0000000E+000, 2.9830339E+002, 2.9843799E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6507857E+002, 1.0117205E+003, 0.0000000E+000,-3.7362551E+002,-4.7799046E+001,-2.7523198E+002,-7.0625217E-002, 0.0000000E+000, 0.0000000E+000, 3.1822165E+002, 3.1499337E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6607899E+002, 9.8538885E+002, 0.0000000E+000,-3.8337992E+002,-5.0228102E+001,-2.7629141E+002,-7.1470818E-002, 0.0000000E+000, 0.0000000E+000, 2.7622879E+002, 2.7541795E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6705292E+002, 1.0035912E+003, 0.0000000E+000,-3.7047579E+002,-4.8876287E+001,-2.7603499E+002,-7.0925487E-002, 0.0000000E+000, 0.0000000E+000, 3.0678332E+002, 3.0813318E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6802686E+002, 1.0055153E+003, 0.0000000E+000,-3.9301792E+002,-4.7166668E+001,-2.7761814E+002,-7.1386848E-002, 0.0000000E+000, 0.0000000E+000, 2.8984127E+002, 2.8764116E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.6904686E+002, 9.9932798E+002, 0.0000000E+000,-3.7821432E+002,-4.5236192E+001,-2.7840440E+002,-7.1359560E-002, 0.0000000E+000, 0.0000000E+000, 2.9408160E+002, 2.9740170E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7002090E+002, 9.8704453E+002, 0.0000000E+000,-3.8098515E+002,-4.5290035E+001,-2.7872679E+002,-7.1235069E-002, 0.0000000E+000, 0.0000000E+000, 2.8172983E+002, 2.8197132E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7108377E+002, 9.9324654E+002, 0.0000000E+000,-3.7539591E+002,-4.4385236E+001,-2.8034349E+002,-7.1577996E-002, 0.0000000E+000, 0.0000000E+000, 2.9459568E+002, 2.9305033E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7203860E+002, 1.0034816E+003, 0.0000000E+000,-3.8712138E+002,-4.5439306E+001,-2.8179557E+002,-7.1643406E-002, 0.0000000E+000, 0.0000000E+000, 2.8907645E+002, 2.8905370E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7302136E+002, 1.0073710E+003, 0.0000000E+000,-3.8619976E+002,-4.6198858E+001,-2.8286983E+002,-7.1444204E-002, 0.0000000E+000, 0.0000000E+000, 2.9115415E+002, 2.9203112E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7406197E+002, 1.0067540E+003, 0.0000000E+000,-3.8504798E+002,-4.7639197E+001,-2.8432541E+002,-7.1359672E-002, 0.0000000E+000, 0.0000000E+000, 2.9261681E+002, 2.8967009E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7510014E+002, 9.9168047E+002, 0.0000000E+000,-3.8482351E+002,-4.7916760E+001,-2.8537784E+002,-7.1992718E-002, 0.0000000E+000, 0.0000000E+000, 2.7230282E+002, 2.7349037E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7606593E+002, 1.0115505E+003, 0.0000000E+000,-3.9085162E+002,-4.9983350E+001,-2.8628527E+002,-7.1712422E-002, 0.0000000E+000, 0.0000000E+000, 2.8231247E+002, 2.8435857E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7700400E+002, 9.9924969E+002, 0.0000000E+000,-3.9383127E+002,-5.1221082E+001,-2.8726993E+002,-7.1760810E-002, 0.0000000E+000, 0.0000000E+000, 2.7177647E+002, 2.6685566E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7805615E+002, 1.0039528E+003, 0.0000000E+000,-3.9226037E+002,-4.9045237E+001,-2.8820098E+002,-7.1866478E-002, 0.0000000E+000, 0.0000000E+000, 2.7248562E+002, 2.7437438E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.7903511E+002, 9.9551062E+002, 0.0000000E+000,-3.9446347E+002,-4.8354543E+001,-2.8919001E+002,-7.1619471E-002, 0.0000000E+000, 0.0000000E+000, 2.6305666E+002, 2.6343098E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8001869E+002, 9.9945434E+002, 0.0000000E+000,-3.9354560E+002,-4.6884032E+001,-2.9051255E+002,-7.1067230E-002, 0.0000000E+000, 0.0000000E+000, 2.6968837E+002, 2.6844110E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8107751E+002, 9.9225355E+002, 0.0000000E+000,-3.7098533E+002,-5.1068260E+001,-2.9050842E+002,-7.1481375E-002, 0.0000000E+000, 0.0000000E+000, 2.7680867E+002, 2.7962006E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8207588E+002, 9.9738332E+002, 0.0000000E+000,-3.9373405E+002,-5.3633985E+001,-2.9136833E+002,-7.1490613E-002, 0.0000000E+000, 0.0000000E+000, 2.6030774E+002, 2.5857546E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8305513E+002, 9.7433799E+002, 0.0000000E+000,-4.0826397E+002,-5.1812065E+001,-2.9244845E+002,-7.0086583E-002, 0.0000000E+000, 0.0000000E+000, 2.3130769E+002, 2.2174342E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8405029E+002, 9.6615033E+002, 0.0000000E+000,-3.7824135E+002,-5.1827457E+001,-2.9327613E+002,-7.1253902E-002, 0.0000000E+000, 0.0000000E+000, 2.3186785E+002, 2.4273414E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8503514E+002, 9.9909063E+002, 0.0000000E+000,-3.9672302E+002,-5.3776870E+001,-2.9490252E+002,-7.1122392E-002, 0.0000000E+000, 0.0000000E+000, 2.5679459E+002, 2.5361709E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8601628E+002, 9.9078571E+002, 0.0000000E+000,-3.9466775E+002,-5.3347070E+001,-2.9604342E+002,-7.1521142E-002, 0.0000000E+000, 0.0000000E+000, 2.4567264E+002, 2.4665595E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8706410E+002, 9.9130690E+002, 0.0000000E+000,-4.0315610E+002,-5.4820400E+001,-2.9733547E+002,-7.1734738E-002, 0.0000000E+000, 0.0000000E+000, 2.3713620E+002, 2.3592319E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8800716E+002, 9.9872629E+002, 0.0000000E+000,-4.0061779E+002,-5.3341061E+001,-2.9909679E+002,-7.1283668E-002, 0.0000000E+000, 0.0000000E+000, 2.4435513E+002, 2.4559936E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.8905498E+002, 1.0025893E+003, 0.0000000E+000,-4.1643514E+002,-5.3251159E+001,-2.9956276E+002,-7.1471114E-002, 0.0000000E+000, 0.0000000E+000, 2.3474502E+002, 2.3326874E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.9002571E+002, 1.0175338E+003, 0.0000000E+000,-4.1547451E+002,-5.4473532E+001,-3.0017743E+002,-7.1686601E-002, 0.0000000E+000, 0.0000000E+000, 2.4595459E+002, 2.4733666E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.9108586E+002, 1.0060099E+003, 0.0000000E+000,-4.0374515E+002,-5.5427137E+001,-3.0104733E+002,-7.1486671E-002, 0.0000000E+000, 0.0000000E+000, 2.4806245E+002, 2.4571876E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
 1.9200388E+002, 1.0128519E+003, 0.0000000E+000,-4.0460344E+002,-5.5773981E+001,-3.0162937E+002,-7.1093790E-002, 0.0000000E+000, 0.0000000E+000, 2.5316906E+002, 2.5077397E+002, 0.0000000E+000, 2.3333823E-002, 0.0000000E+000
