s,C,1/m
Time,TEMPERATURE_C,EXTINCTION_PER_M
 1.6802685E+002, 5.0725840E+001, 1.0605313E+000
 1.6904686E+002, 5.0285129E+001, 1.0555342E+000
 1.7002090E+002, 5.0533609E+001, 1.0665749E+000
 1.7108377E+002, 5.1002400E+001, 1.0855797E+000
 1.7203860E+002, 5.1504195E+001, 1.1096638E+000
 1.7302137E+002, 5.2060160E+001, 1.1326144E+000
 1.7406197E+002, 5.2889128E+001, 1.1736439E+000
 1.7510014E+002, 5.3915828E+001, 1.2278161E+000
 1.7606593E+002, 5.4100747E+001, 1.2352764E+000
 1.7700400E+002, 5.2458484E+001, 1.1689974E+000
 1.7805615E+002, 5.0598810E+001, 1.0941300E+000
 1.7903511E+002, 5.0681877E+001, 1.0918603E+000
 1.8001869E+002, 5.1342544E+001, 1.1086785E+000
 1.8107751E+002, 5.2483617E+001, 1.1468788E+000
 1.8207589E+002, 5.2996147E+001, 1.1730100E+000
 1.8305513E+002, 5.2360742E+001, 1.1665526E+000
 1.8405030E+002, 5.2308702E+001, 1.1684536E+000
 1.8503514E+002, 5.2606218E+001, 1.1773473E+000
 1.8601628E+002, 5.2995159E+001, 1.1892839E+000
 1.8706411E+002, 5.2558814E+001, 1.1754775E+000
 1.8800715E+002, 5.1364171E+001, 1.1373515E+000
 1.8905497E+002, 5.1041464E+001, 1.1274811E+000
 1.9002572E+002, 5.1620265E+001, 1.1449450E+000
 1.9108587E+002, 5.2953826E+001, 1.1895792E+000
 1.9200388E+002, 5.3690669E+001, 1.2194102E+000
 1.9302981E+002, 5.3804330E+001, 1.2255966E+000
 1.9401888E+002, 5.3943284E+001, 1.2340926E+000
 1.9506351E+002, 5.4260157E+001, 1.2508534E+000
 1.9600293E+002, 5.4699836E+001, 1.2714130E+000
 1.9702955E+002, 5.5361452E+001, 1.3001628E+000
 1.9803405E+002, 5.6001875E+001, 1.3260701E+000
 1.9900234E+002, 5.5961446E+001, 1.3309625E+000
 2.0000702E+002, 5.5434590E+001, 1.3207142E+000
 2.0102008E+002, 5.5407042E+001, 1.3322993E+000
 2.0203314E+002, 5.5809699E+001, 1.3641087E+000
 2.0304762E+002, 5.5747520E+001, 1.3742623E+000
 2.0404603E+002, 5.5165567E+001, 1.3531512E+000
 2.0500004E+002, 5.5239475E+001, 1.3550811E+000
 2.0603671E+002, 5.5781893E+001, 1.3773661E+000
 2.0707338E+002, 5.6189059E+001, 1.3938458E+000
 2.0801581E+002, 5.5413102E+001, 1.3682153E+000
 2.0905248E+002, 5.4386194E+001, 1.3396467E+000
 2.1008915E+002, 5.4785972E+001, 1.3718503E+000
 2.1102216E+002, 5.5525383E+001, 1.4099801E+000
 2.1208351E+002, 5.4994714E+001, 1.3917234E+000
 2.1305642E+002, 5.4746476E+001, 1.3775235E+000
 2.1402933E+002, 5.5432497E+001, 1.4039980E+000
 2.1506415E+002, 5.6057628E+001, 1.4277573E+000
 2.1603706E+002, 5.5925646E+001, 1.4157766E+000
 2.1700997E+002, 5.6461650E+001, 1.4325245E+000
 2.1800628E+002, 5.7776071E+001, 1.4954878E+000
 2.1904939E+002, 5.8663598E+001, 1.5353754E+000
 2.2003570E+002, 5.8556055E+001, 1.5282178E+000
 2.2104400E+002, 5.8853811E+001, 1.5405751E+000
 2.2200524E+002, 5.9751754E+001, 1.5869014E+000
 2.2303772E+002, 6.0039956E+001, 1.6075138E+000
 2.2402371E+002, 5.9599159E+001, 1.5965984E+000
 2.2510081E+002, 5.9745653E+001, 1.6064568E+000
 2.2601149E+002, 6.0400903E+001, 1.6392339E+000
 2.2707680E+002, 6.0638897E+001, 1.6592810E+000
 2.2807554E+002, 6.0404992E+001, 1.6566957E+000
 2.2906559E+002, 6.0046157E+001, 1.6514797E+000
 2.3006025E+002, 6.0299238E+001, 1.6701166E+000
 2.3109089E+002, 6.0653820E+001, 1.6895601E+000
 2.3202504E+002, 6.0560157E+001, 1.6923997E+000
 2.3305260E+002, 6.0088250E+001, 1.6781061E+000
 2.3408016E+002, 5.9034851E+001, 1.6394371E+000
 2.3501430E+002, 5.7899856E+001, 1.6037838E+000
 2.3604186E+002, 5.7845227E+001, 1.6169367E+000
 2.3706942E+002, 5.8544264E+001, 1.6525575E+000
 2.3800590E+002, 5.8311599E+001, 1.6494834E+000
 2.3903555E+002, 5.7193231E+001, 1.6124063E+000
 2.4003660E+002, 5.6253765E+001, 1.5845875E+000
 2.4106311E+002, 5.5988089E+001, 1.5832731E+000
 2.4202429E+002, 5.6652350E+001, 1.6134906E+000
 2.4305080E+002, 5.7771394E+001, 1.6520757E+000
 2.4404998E+002, 5.8999670E+001, 1.6886125E+000
 2.4502888E+002, 6.0421971E+001, 1.7453536E+000
 2.4604367E+002, 6.0670828E+001, 1.7617869E+000
 2.4704814E+002, 5.9432015E+001, 1.7081735E+000
 2.4807829E+002, 5.8699747E+001, 1.6664559E+000
 2.4905211E+002, 5.8706472E+001, 1.6577822E+000
 2.5001707E+002, 5.8924039E+001, 1.6618283E+000
 2.5108687E+002, 5.8949654E+001, 1.6587438E+000
 2.5201490E+002, 5.8632971E+001, 1.6480737E+000
 2.5306731E+002, 5.8559688E+001, 1.6455305E+000
 2.5401448E+002, 5.9638986E+001, 1.6897112E+000
 2.5506689E+002, 6.0485526E+001, 1.7369180E+000
 2.5609073E+002, 6.0130168E+001, 1.7453931E+000
 2.5702149E+002, 5.8975458E+001, 1.7155061E+000
 2.5804532E+002, 5.7958242E+001, 1.6803910E+000
 2.5904123E+002, 5.8240104E+001, 1.6887585E+000
 2.6006507E+002, 5.8981588E+001, 1.7266168E+000
 2.6108890E+002, 5.8516963E+001, 1.7164264E+000
 2.6204722E+002, 5.7820104E+001, 1.6874963E+000
 2.6300083E+002, 5.8315937E+001, 1.7035327E+000
 2.6406757E+002, 5.9486409E+001, 1.7516131E+000
 2.6500098E+002, 5.9588660E+001, 1.7690119E+000
 2.6607661E+002, 5.9051921E+001, 1.7630478E+000
